Book,Concordance,Spell,Number of Records,Position,sort-order
3: PoA,"glided forward, drawing its breath; one rotting hand was extending toward Harry — expectopatronum! Harry yelled, expectopatronum! expecto pat — white fog obscured his senses … big, blurred shapes were mov­ing around him …",expectopatronum,1,262425,262425
3: PoA,"ground, pale as death, he’ll be all right, i’m going to go and live with him, expectopatronum! hermione, help me! expectopatronum! expecto — hermione whispered, expecto — expecto — but she",expectopatronum,1,304775,304775
3: PoA,"his thoughts back to that first broom ride, expecto patrono — no, patronum — sorry — expectopatronum, expectopatronum — something whooshed suddenly out of the end of his wand; it looked like a wisp of silvery",expectopatronum,1,261783,261783
3: PoA,"moment, Harry felt hermione collapse next to him, he was alone … completely alone, … expecto — expectopatronum — Harry felt his knees hit the cold grass, fog was clouding his eyes, with a huge",expectopatronum,1,304881,304881
3: PoA,"once more, the dementor glided forward, drawing its breath; one rotting hand was extending toward Harry — expectopatronum! Harry yelled, expectopatronum! expecto pat — white fog obscured his senses … big, blurred shapes",expectopatronum,1,262420,262420
3: PoA,"possible the won­derful, soaring sensation of his stomach, the incantation is this — lupin cleared his throat, expectopatronum! expectopatronum, Harry repeated under his breath, expectopatronum, concentrating hard on your happy memory? oh",expectopatronum,1,261735,261735
3: PoA,"quickly forcing his thoughts back to that first broom ride, expecto patrono — no, patronum — sorry — expectopatronum, expectopatronum — something whooshed suddenly out of the end of his wand; it looked like a wisp",expectopatronum,1,261781,261781
3: PoA,"rose out of it; the room fell cold and dark — expectopatronum! Harry bellowed, expecto pa­tronum! expectopatronum! the screaming inside Harry’s head had started again — except this time, it sounded as though it",expectopatronum,1,262880,262880
3: PoA,"silently toward Harry, drawing a deep, rattling breath, a wave of piercing cold broke over him — expectopatronum! Harry yelled, expectopatronum! ex­pecto — but the classroom and the dementor were dissolving, … Harry",expectopatronum,1,261983,261983
3: PoA,"the dursleys, he forced himself to think of black, and only black, and began to chant : expectopatronum! expectopatronum! black gave a shudder, rolled over, and lay motionless on the ground, pale",expectopatronum,1,304738,304738
3: PoA,"the incantation is this — lupin cleared his throat, expectopatronum! expectopatronum, Harry repeated under his breath, expectopatronum, concentrating hard on your happy memory? oh — yeah — said Harry, quickly forcing his thoughts",expectopatronum,1,261745,261745
